집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2023-10-26,1,2,1,0,108041,3503,7727,6587,10874,2765,139497
2023-10-26,1,2,49,0,86972,4877,3119,4095,3516,4923,107502
2023-10-26,1,2,46,0,7741,447,501,680,1697,300,11366
2023-10-26,1,2,11,0,118597,4257,3757,2794,3667,6957,140029
2023-10-26,1,2,2,0,92972,3775,3097,4291,7908,3719,115762
2023-10-27,0,1,0,0,238586,10341,32216,28593,9619,2611,321966
2023-10-27,0,1,0,1,44470,2059,3477,2917,1407,6028,60358
2023-10-27,0,1,8,0,9592,290,929,922,644,91,12468
2023-10-27,0,1,8,1,3265,0,160,142,18,21,3606
2023-10-27,0,1,26,1,6825,116,366,441,294,868,8910
2023-10-27,0,1,44,0,7244,458,853,762,233,1299,10849
2023-10-27,0,1,44,1,331,10,18,1,0,61,421
2023-10-27,0,1,42,1,18427,536,685,644,1064,1174,22530
2023-10-27,0,1,43,1,1213,26,45,64,17,30,1395
2023-10-27,0,1,10,0,7595,216,416,273,53,72,8625
2023-10-27,0,1,10,1,486,17,26,25,14,82,650
2023-10-27,0,1,18,0,5043,332,1265,1194,505,39,8378
2023-10-27,0,1,45,0,739,39,203,238,42,48,1309
2023-10-27,0,1,34,0,3088,62,214,272,98,26,3760
2023-10-27,0,1,28,0,5635,163,475,209,57,506,7045
2023-10-27,0,1,37,0,1725,160,614,1082,292,55,3928
2023-10-27,0,1,48,0,1316,177,526,262,88,230,2599
2023-10-27,0,1,1,0,4870,199,576,565,199,81,6490
2023-10-27,0,1,49,0,1514,95,281,236,61,26,2213
2023-10-27,0,1,46,0,396,9,99,78,21,69,672
2023-10-27,0,1,11,0,13419,524,1506,1253,668,375,17745
2023-10-27,0,1,2,0,7018,351,694,480,124,105,8772
2023-10-27,0,2,0,0,2650468,90118,108501,83376,157596,117589,3207648
2023-10-27,0,2,0,1,582416,17196,14480,10732,17368,31510,673702
